iter	RMSE
0	1864.801019
1	1823.092538
2	1782.776811
3	1743.752226
4	1706.012142
5	1669.703456
6	1634.542776
7	1601.248915
8	1571.190891
9	1540.173572
10	1510.173629
11	1481.47447
12	1453.505962
13	1427.339434
14	1401.696185
15	1377.129365
16	1353.792494
17	1331.380136
18	1309.994808
19	1289.178399
20	1269.419258
21	1250.493119
22	1232.225792
23	1215.029708
24	1198.345153
25	1182.586709
26	1167.336754
27	1152.85079
28	1138.906042
29	1125.511177
30	1112.989727
31	1101.043879
32	1089.608853
33	1078.831069
34	1068.436896
35	1058.53325
36	1049.134393
37	1040.193842
38	1031.728708
39	1023.638631
40	1015.988339
41	1008.364759
42	1001.402818
43	994.900741
44	988.6920778
45	982.6592748
46	977.0164194
47	971.6822915
48	966.5408321
49	961.728581
50	957.0792108
51	952.4244304
52	948.30322
53	944.3497063
54	940.5240537
55	936.7448146
56	933.3943819
57	930.2120372
58	927.2646428
59	924.4586035
60	921.7888992
61	919.234368
62	916.6320202
63	914.3602307
64	912.1485863
65	909.9881182
66	908.0771284
67	906.0322948
68	904.2254448
69	902.4815135
70	900.7436785
71	899.1039868
72	897.543414
73	896.1923762
74	894.7320632
75	893.2887667
76	891.954795
77	890.7191608
78	889.7192014
79	888.7102058
80	887.7056217
81	886.8579453
82	886.0064245
83	885.0910861
84	884.3353742
85	883.461242
86	882.7569924
87	882.0488267
88	881.3717331
89	880.8129688
90	880.3073895
91	879.7285137
92	879.0955133
93	878.5912209
94	878.1319645
95	877.7309707
96	877.3351969
97	876.9554819
98	876.4931191
99	876.0495328
