iter	Passed	Remaining
0	1	136
1	2	133
2	3	128
3	5	123
4	6	119
5	7	117
6	8	114
7	9	113
8	11	114
9	12	112
10	13	111
11	15	110
12	16	108
13	17	106
14	18	106
15	19	104
16	21	102
17	22	101
18	26	110
19	29	118
20	31	119
21	33	117
22	34	115
23	38	120
24	41	123
25	46	131
26	48	130
27	51	132
28	53	129
29	54	128
30	56	125
31	59	125
32	61	124
33	63	123
34	65	121
35	67	120
36	70	120
37	72	118
38	77	121
39	83	124
40	86	124
41	89	123
42	91	120
43	93	118
44	95	116
45	98	115
46	102	116
47	104	113
48	106	111
49	112	112
50	113	109
51	115	106
52	117	104
53	119	102
54	122	99
55	123	97
56	125	94
57	128	92
58	130	90
59	133	89
60	135	86
61	138	84
62	139	82
63	142	80
64	144	77
65	146	75
66	148	72
67	149	70
68	151	67
69	152	65
70	153	62
71	154	60
72	157	58
73	159	56
74	161	53
75	164	51
76	166	49
77	168	47
78	170	45
79	171	42
80	172	40
81	174	38
82	177	36
83	179	34
84	181	31
85	182	29
86	184	27
87	185	25
88	187	23
89	188	20
90	189	18
91	190	16
92	191	14
93	193	12
94	196	10
95	197	8
96	198	6
97	201	4
98	203	2
99	207	0
