user_id,first_post_date,last_post_date,content_count,avg_interactions,max_interactions,total_interactions,active_days,avg_sentiment,sentiment_std,avg_title_length,avg_special_chars,post_timestamps,morning_ratio,afternoon_ratio,evening_ratio,night_ratio,viral_content_count,interaction_efficiency_viz,content_engagement_ratio,content_count_norm,content_engagement_ratio_norm,account_age_days,active_days_ratio,posting_consistency,posting_periodicity,content_stability,interaction_efficiency,creator_growth_potential,growth_potential,title_optimization,special_char_usage,sentiment_variation,content_quality_index,prime_time_ratio,time_diversity,activity_score,engagement_index,loyalty_index,viral_capability,viral_potential,influence_score,kmeans_cluster,dbscan_cluster,agg_cluster,gmm_cluster,ensemble_cluster,anomaly_score,is_anomaly,lof_anomaly,cluster_label,log_efficiency
⁢,2025-03-28 17:03:41,2025-03-28 17:03:41,1.0,64.0,64.0,64.0,1.0,0.7686020135879517,0.0,24.0,0.0,2025-03-28 17:03:41,0.0,1.0,0.0,0.0,0.0,64.0,0.18768468914765865,0.0,0.3460528812402577,1.0,1.0,0.9117646975692043,0.0,1.0,0.5575686720917554,1.0,0.982352939513841,0.582000438515532,0.6949985793937281,0.0,0.6818670104990705,1.0,-7.213475800929758e-11,0.36470587902768176,0.7675119520782021,0.9647058790276817,0.0,0.20456010314972115,0.449547952804499,0,-1,0,4,0,0.11850709638580925,True,True,0,0.443126061938143
^_^清风徐来~,2024-10-22 17:03:41,2024-10-22 17:03:41,1.0,0.0,0.0,0.0,1.0,0.9999229907989502,0.0,32.0,4.0,2024-10-22 17:03:41,0.0,1.0,0.0,0.0,0.0,0.0,0.18768468914765865,0.0,0.3460528812402577,1.0,1.0,0.9117646975692043,0.0,1.0,0.4029383434540762,1.0,0.982352939513841,0.2315779848991104,0.5234964394261298,0.0,0.5849991383747302,1.0,-7.213475800929758e-11,0.36470587902768176,0.7682535245985291,0.9647058790276817,0.0,0.17549974151241904,0.4180658943640884,2,-1,3,1,2,0.08671108704165409,False,False,0,0.3385688539351852
^不知云幽（接代剪版,2024-08-27 00:00:00,2024-08-27 00:00:00,1.0,3163.0,3163.0,3163.0,1.0,0.8283820152282715,0.0,5.0,0.0,2024-08-27 00:00:00,0.0,0.0,0.0,1.0,0.0,3163.0,0.18768468914765865,0.0,0.3460528812402577,1.0,1.0,0.9117646975692043,0.0,1.0,0.25298970700931966,1.0,0.982352939513841,0.5857462341454672,0.6949985793937281,0.0,0.7030422762558223,0.0,-7.213475800929758e-11,0.36470587902768176,0.7836531683174965,0.9647058790276817,0.0,0.21091268287674667,0.4564299141754433,7,-1,5,6,7,-0.01456502199879306,True,False,0,0.2255324612028719
__claudie,2025-03-24 17:03:41,2025-03-24 17:03:41,1.0,178.0,178.0,178.0,1.0,0.9041209816932678,0.0,23.0,3.0,2025-03-24 17:03:41,0.0,1.0,0.0,0.0,0.0,178.0,0.18768468914765865,0.0,0.3460528812402577,1.0,1.0,0.9117646975692043,0.0,1.0,0.12142256831370396,1.0,0.982352939513841,0.6258032452175846,0.7188726847211653,0.0,0.7495989705440058,1.0,-7.213475800929758e-11,0.36470587902768176,0.8199477389078567,0.9647058790276817,0.0,0.22487969116320175,0.471560839819103,0,-1,0,7,0,0.12121214337246505,False,False,0,0.11459802962861572
_Smily_,2025-07-20 12:21:01,2025-07-20 12:21:01,1.0,7863.0,7863.0,7863.0,1.0,0.21002799272537231,0.0,10.0,2.0,2025-07-20 12:21:01,0.0,1.0,0.0,0.0,1.0,7863.0,0.18768468914765865,0.0,0.3460528812402577,1.0,1.0,0.9117646975692043,0.0,1.0,0.38630708656677715,1.0,0.982352939513841,0.8047602676557306,0.9142489300162009,0.0,0.6430123967991013,1.0,-7.213475800929758e-11,0.36470587902768176,0.8253895735704821,0.9647058790276817,1.0,0.8929037190397303,0.611920203352009,4,-1,4,3,4,0.022203878113794873,False,False,1,0.32664343940570806
_Sq17_,2024-11-30 17:03:41,2024-11-30 17:03:41,1.0,1.0,1.0,1.0,1.0,0.7498070001602173,0.0,23.0,2.0,2024-11-30 17:03:41,0.0,1.0,0.0,0.0,0.0,1.0,0.18768468914765865,0.0,0.3460528812402577,1.0,1.0,0.9117646975692043,0.0,1.0,0.2117019277078841,1.0,0.982352939513841,0.6258032452175846,0.9142489300162009,0.0,0.763286391798001,1.0,-7.213475800929758e-11,0.36470587902768176,0.8570120949221607,0.9647058790276817,0.0,0.22898591753940029,0.4760092517266514,0,-1,0,4,0,0.14566797862355918,False,False,0,0.19202592316592057
_sweetsea,2025-07-19 16:05:00,2025-07-19 16:12:12,2.0,541.0,1054.0,1082.0,1.0,0.7793465256690979,0.19815850257873535,13.5,1.0,"2025-07-19 16:05:00,2025-07-19 16:12:12",0.0,1.0,0.0,0.0,0.0,270.5,0.2680449408951331,0.030303030293847566,0.4942210497823792,1.005,0.9950248756218907,1.8235293951384086,0.0,1.0,0.6363204481206902,1.0,1.163213341714249,0.958070091112915,0.8903748246887636,0.39923100337823164,0.8759304804902589,1.0,-7.213475800929758e-11,0.7475935762316721,1.1909776480234022,1.326426683428498,0.0,0.26277914414707765,0.7481355125173982,3,-1,2,5,3,-0.15559528683560375,True,False,2,0.49245009193436395
_一口一个梅梅子,2024-08-19 17:03:41,2025-01-02 17:03:41,2.0,331.5,372.0,663.0,2.0,0.6928764879703522,0.3060005009174347,23.0,4.5,"2024-08-19 17:03:41,2025-01-02 17:03:41",0.0,1.0,0.0,0.0,0.0,165.75,0.2680449408951331,0.030303030293847566,0.4942210497823792,137.0,0.014598540145985401,0.9117646975692043,0.0,0.014598540145985401,0.3299184521787905,0.22296645532531745,0.2982157292202952,0.6258032452175846,0.425808316778612,0.6165008587858527,0.5814960166555162,1.0,-7.213475800929758e-11,0.3828876972039903,0.7249025474978303,0.373465003115273,0.0,0.17444880499665485,0.4245031373788057,6,-1,7,2,6,0.007702148278840748,False,False,3,0.2851176262025876
_困困熊^🥝,2025-03-28 08:55:12,2025-03-28 08:55:12,1.0,0.0,0.0,0.0,1.0,0.27272701263427734,0.0,2.0,0.0,2025-03-28 08:55:12,1.0,0.0,0.0,0.0,0.0,0.0,0.18768468914765865,0.0,0.3460528812402577,1.0,1.0,0.9117646975692043,0.0,1.0,0.46866256302497783,1.0,0.982352939513841,0.4543378140393092,0.6949985793937281,0.0,0.4740211353557715,0.0,-7.213475800929758e-11,0.36470587902768176,0.6162040235142832,0.9647058790276817,0.0,0.14220634060673146,0.38199804338292687,7,-1,5,6,7,-0.075990465880303,True,True,0,0.3843521655807966
_昊日天_,2025-07-20 12:21:01,2025-07-20 12:21:01,1.0,1533.0,1533.0,1533.0,1.0,0.9994329810142517,0.0,16.0,1.0,2025-07-20 12:21:01,0.0,1.0,0.0,0.0,0.0,1533.0,0.18768468914765865,0.0,0.3460528812402577,1.0,1.0,0.9117646975692043,0.0,1.0,0.2625124760744822,1.0,0.982352939513841,0.9324228921319533,0.8903748246887636,0.0,0.9407435659449895,1.0,-7.213475800929758e-11,0.36470587902768176,0.9709528183312537,0.9647058790276817,0.0,0.28222306978349687,0.5336828333244227,0,-1,0,7,0,0.11938738797506959,False,False,0,0.23310376415774464
