iter	RMSE
0	1853.196503
1	1811.839167
2	1771.668998
3	1732.918511
4	1695.424385
5	1659.246156
6	1624.501146
7	1591.510304
8	1561.502122
9	1530.776847
10	1500.966464
11	1472.500931
12	1444.723145
13	1418.893846
14	1393.496345
15	1368.990637
16	1345.841499
17	1323.524534
18	1302.152309
19	1281.427925
20	1261.864164
21	1243.357122
22	1225.301201
23	1207.862499
24	1191.667475
25	1175.948048
26	1160.638319
27	1146.0368
28	1132.413071
29	1119.209367
30	1106.817805
31	1095.153244
32	1084.179052
33	1073.367475
34	1063.55932
35	1053.829647
36	1044.365736
37	1035.552705
38	1026.98838
39	1018.567841
40	1010.807146
41	1003.214816
42	996.5693388
43	990.0061599
44	983.7574632
45	977.6942528
46	972.0294472
47	966.5751588
48	961.4111453
49	956.3255489
50	951.8598737
51	947.5176787
52	943.4603221
53	939.6049332
54	935.9721919
55	932.242287
56	928.9284573
57	925.7779362
58	922.8000004
59	919.9503529
60	917.2521214
61	914.7437122
62	912.1957969
63	909.9284978
64	907.7541093
65	905.4874736
66	903.5929385
67	901.7761587
68	899.9992651
69	898.3597847
70	896.8234761
71	895.3648763
72	893.9496725
73	892.6777871
74	891.3195786
75	890.1342711
76	888.9777407
77	887.902201
78	886.8914718
79	885.8776306
80	884.8951548
81	884.0278992
82	883.2007172
83	882.264427
84	881.4858753
85	880.729051
86	880.0662696
87	879.250059
88	878.6285426
89	878.0876803
90	877.5223577
91	876.7967405
92	876.3111869
93	875.8500569
94	875.2156876
95	874.6066089
96	874.1480143
97	873.6813884
98	873.247394
99	872.8425102
