iter	Passed	Remaining
0	1	103
1	2	103
2	3	97
3	4	97
4	5	97
5	6	95
6	7	95
7	8	93
8	9	94
9	10	93
10	11	93
11	12	92
12	13	90
13	14	89
14	15	87
15	16	85
16	17	83
17	17	81
18	18	80
19	19	79
20	20	78
21	21	77
22	22	75
23	23	74
24	24	72
25	24	70
26	25	69
27	26	68
28	27	67
29	28	66
30	29	66
31	30	65
32	32	65
33	33	64
34	34	64
35	35	63
36	36	62
37	38	62
38	39	61
39	40	61
40	42	60
41	43	59
42	44	58
43	45	57
44	46	56
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	59	42
58	60	42
59	61	41
60	62	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	82	23
78	83	22
79	84	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	92	14
86	93	13
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	101	6
94	102	5
95	104	4
96	105	3
97	106	2
98	107	1
99	109	0
